| Probability | Avg Task Duration (ms) | Avg FCT (ms) | Avg Pkt Delay (ms) | Workload Makespan (s) |
| 0.1 | 83.16 | 49.26 | 2.71 | 3.9660 |
| 0.2 | 82.53 | 48.91 | 2.68 | 3.9673 |
| 0.3 | 82.64 | 48.97 | 2.68 | 3.9677 |
| 0.4 | 83.07 | 49.13 | 2.70 | 3.9691 |
| 0.5 | 83.02 | 49.07 | 2.70 | 3.9678 |
| 0.6 | 83.26 | 49.34 | 2.71 | 3.9674 |
| 0.7 | 83.31 | 49.38 | 2.71 | 3.9683 |
| 0.8 | 83.27 | 49.37 | 2.71 | 3.9680 |
| 0.9 | 83.26 | 49.35 | 2.71 | 3.9680 |
| 1.0 | 83.26 | 49.35 | 2.71 | 3.9680 |
