| JobMode | Backoff | Probability | Avg Task Duration (ms) | Avg FCT (ms) | Avg Pkt Delay (ms) | Workload Makespan (s) |
| 4 | 10us | 0.1 | 20.58 | 17.46 | 1.08 | 1.1013 |
| 4 | 10us | 0.2 | 20.55 | 17.49 | 1.08 | 1.1012 |
| 4 | 10us | 0.3 | 20.55 | 17.51 | 1.08 | 1.1009 |
| 4 | 10us | 0.4 | 20.54 | 17.51 | 1.08 | 1.1007 |
| 4 | 10us | 0.5 | 20.54 | 17.51 | 1.08 | 1.1006 |
| 4 | 10us | 0.6 | 20.55 | 17.52 | 1.08 | 1.1007 |
| 4 | 10us | 0.7 | 20.54 | 17.52 | 1.08 | 1.1006 |
| 4 | 10us | 0.8 | 20.54 | 17.52 | 1.08 | 1.1005 |
| 4 | 10us | 0.9 | 20.54 | 17.52 | 1.08 | 1.1005 |
| 4 | 10us | 1.0 | 20.54 | 17.52 | 1.08 | 1.1005 |
| 4 | 100us | 0.1 | 20.60 | 16.58 | 1.06 | 1.1075 |
| 4 | 100us | 0.2 | 20.48 | 17.08 | 1.07 | 1.1047 |
| 4 | 100us | 0.3 | 20.58 | 17.28 | 1.08 | 1.1018 |
| 4 | 100us | 0.4 | 20.52 | 17.33 | 1.08 | 1.1012 |
| 4 | 100us | 0.5 | 20.53 | 17.39 | 1.08 | 1.1011 |
| 4 | 100us | 0.6 | 20.53 | 17.41 | 1.08 | 1.1012 |
| 4 | 100us | 0.7 | 20.52 | 17.45 | 1.08 | 1.1009 |
| 4 | 100us | 0.8 | 20.52 | 17.48 | 1.08 | 1.1003 |
| 4 | 100us | 0.9 | 20.53 | 17.49 | 1.08 | 1.1005 |
| 4 | 100us | 1.0 | 20.54 | 17.52 | 1.08 | 1.1005 |
| 4 | 1ms | 0.1 | 21.36 | 13.52 | 0.70 | 1.1554 |
| 4 | 1ms | 0.2 | 19.84 | 14.13 | 0.90 | 1.1156 |
| 4 | 1ms | 0.3 | 20.23 | 15.04 | 0.98 | 1.1057 |
| 4 | 1ms | 0.4 | 20.52 | 15.65 | 1.02 | 1.1022 |
| 4 | 1ms | 0.5 | 20.30 | 16.06 | 1.05 | 1.1023 |
| 4 | 1ms | 0.6 | 20.37 | 16.38 | 1.06 | 1.1016 |
| 4 | 1ms | 0.7 | 20.34 | 16.72 | 1.07 | 1.1014 |
| 4 | 1ms | 0.8 | 20.46 | 17.05 | 1.07 | 1.1016 |
| 4 | 1ms | 0.9 | 20.46 | 17.21 | 1.08 | 1.1010 |
| 4 | 1ms | 1.0 | 20.54 | 17.52 | 1.08 | 1.1005 |
