| JobMode | Backoff | Probability | Avg Task Duration (ms) | Avg FCT (ms) | Avg Pkt Delay (ms) | Workload Makespan (s) |
| 4 | 1ms | 0.1 | 21.36 | 13.52 | 0.70 | 1.1554 |
| 4 | 1ms | 0.2 | 19.84 | 14.13 | 0.90 | 1.1156 |
| 4 | 1ms | 0.3 | 20.23 | 15.04 | 0.98 | 1.1057 |
| 4 | 1ms | 0.4 | 20.52 | 15.65 | 1.02 | 1.1022 |
| 4 | 1ms | 0.5 | 20.30 | 16.06 | 1.05 | 1.1023 |
| 4 | 1ms | 0.6 | 20.37 | 16.38 | 1.06 | 1.1016 |
| 4 | 1ms | 0.7 | 20.34 | 16.72 | 1.07 | 1.1014 |
| 4 | 1ms | 0.8 | 20.46 | 17.05 | 1.07 | 1.1016 |
| 4 | 1ms | 0.9 | 20.46 | 17.21 | 1.08 | 1.1010 |
| 4 | 1ms | 1.0 | 20.54 | 17.52 | 1.08 | 1.1005 |
