| Backoff | Probability | Avg Task Duration (ms) | Avg FCT (ms) | Avg Pkt Delay (ms) | Workload Makespan (s) |
| 10us | 0.1 | 47.08 | 36.53 | 1.81 | 2.0638 |
| 10us | 0.2 | 47.03 | 36.56 | 1.80 | 2.0635 |
| 10us | 0.3 | 47.04 | 36.56 | 1.81 | 2.0632 |
| 10us | 0.4 | 47.00 | 36.55 | 1.81 | 2.0632 |
| 10us | 0.5 | 46.97 | 36.52 | 1.81 | 2.0628 |
| 10us | 0.6 | 46.96 | 36.52 | 1.81 | 2.0626 |
| 10us | 0.7 | 46.98 | 36.52 | 1.81 | 2.0624 |
| 10us | 0.8 | 46.97 | 36.52 | 1.81 | 2.0623 |
| 10us | 0.9 | 46.99 | 36.53 | 1.82 | 2.0623 |
| 10us | 1.0 | 47.00 | 36.54 | 1.82 | 2.0621 |
| 100us | 0.1 | 47.81 | 35.78 | 1.76 | 2.0659 |
| 100us | 0.2 | 47.33 | 36.30 | 1.80 | 2.0660 |
| 100us | 0.3 | 47.23 | 36.42 | 1.80 | 2.0638 |
| 100us | 0.4 | 47.17 | 36.50 | 1.81 | 2.0646 |
| 100us | 0.5 | 47.09 | 36.49 | 1.81 | 2.0642 |
| 100us | 0.6 | 47.11 | 36.54 | 1.81 | 2.0641 |
| 100us | 0.7 | 47.05 | 36.51 | 1.81 | 2.0636 |
| 100us | 0.8 | 47.01 | 36.52 | 1.81 | 2.0627 |
| 100us | 0.9 | 47.02 | 36.53 | 1.81 | 2.0633 |
| 100us | 1.0 | 47.00 | 36.54 | 1.82 | 2.0621 |
| 1ms | 0.1 | 48.66 | 28.50 | 1.39 | 2.0795 |
| 1ms | 0.2 | 49.20 | 32.43 | 1.59 | 2.0696 |
| 1ms | 0.3 | 49.88 | 33.95 | 1.66 | 2.0652 |
| 1ms | 0.4 | 48.81 | 34.62 | 1.71 | 2.0642 |
| 1ms | 0.5 | 48.17 | 35.19 | 1.74 | 2.0616 |
| 1ms | 0.6 | 47.76 | 35.45 | 1.76 | 2.0626 |
| 1ms | 0.7 | 47.52 | 35.85 | 1.78 | 2.0624 |
| 1ms | 0.8 | 47.30 | 36.10 | 1.80 | 2.0625 |
| 1ms | 0.9 | 47.37 | 36.31 | 1.81 | 2.0628 |
| 1ms | 1.0 | 47.00 | 36.54 | 1.82 | 2.0621 |
